,3,5,7,8,10,11,12,13,15,16,18,19,21,22,23,24,26,29,31,32,33,35,36,37,38,40
,S1,S2,S3,S4,X1,X2,X3,X4,X5,A1,A2,A3,A4,A5,A6,A7,A8,A9,D1,D2,D3,D4,D5,D6,D7,D8
Mains Live,1,,,,,,,,,,,,,,,,1,,,,,,,,,
24v PSU,,1,,,,,,,,,1,,,,,,,,,,,,,,,
Mains Neut,,,1,,,,,,,1,,,,,,,,,,,,,,,,
0V/Gnd,,,,1,,,,,,,,,,,,,,1,,,,,,,,
Signal Gnd,,,,,1,,,,,,,,,,,,,,,,1,,,,,
Grbl Reset,,,,,,1,,,,,,,,,,,,,,,,,,,1,
Tx,,,,,,,1,,,,,,,,,,,,1,,,,,,,
Rx,,,,,,,,1,,,,,,,,,,,,,,,,,,1
24v Pi,,,,,,,,,1,,,,,,,,,,,,,,1,,,
Y dir,,,,,,,,,,,,1,,,,,,,,,,,,1,,
Y step,,,,,,,,,,,,,1,,,,,,,1,,,,,,
Y min,,,,,,,,,,,,,,1,,,,,,,,,,,,
Y max,,,,,,,,,,,,,,,1,,,,,,,,,,,
Extractor,,,,,,,,,,,,,,,,1,,,,,,1,,,,
Stop bar,,,,,,,,,,,,,,,,,,,,,,,,,,
